date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:35:03	91644/91644	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202025%2020:35:00%20GMT	https://simply-strength.com/xyz-ics-preview-page-2/	C:/My%20Web%20Sites/taniti-studentPA/simply-strength.com/xyz-ics-preview-page-2/index.html	(from )
13:35:04	102691/102691	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202025%2020:35:00%20GMT	https://simply-strength.com/adventure-in-taniti/	C:/My%20Web%20Sites/taniti-studentPA/simply-strength.com/adventure-in-taniti/index.html	(from )
13:35:04	105820/105820	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202025%2020:35:00%20GMT	https://simply-strength.com/relax-in-taniti/	C:/My%20Web%20Sites/taniti-studentPA/simply-strength.com/relax-in-taniti/index.html	(from )
13:35:05	98618/98618	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Jul%202025%2020:35:05%20GMT	https://simply-strength.com/your-stay-in-taniti/	C:/My%20Web%20Sites/taniti-studentPA/simply-strength.com/your-stay-in-taniti/index.html	(from )
13:35:05	123/123	---MCZ	200	added ('OK')	text/plain	date:Thu,%2024%20Jul%202025%2020:34:58%20GMT	https://simply-strength.com/robots.txt		(from )
13:35:05	11256/11256	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Sep%202020%2015:53:06%20GMT	https://c0.wp.com/c/6.8.2/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	C:/My%20Web%20Sites/taniti-studentPA/c0.wp.com/c/6.8.2/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	(from https://simply-strength.com/xyz-ics-preview-page-2/)
13:35:05	4186/4186	---MCZ	200	added ('OK')	text/css	date:Fri,%2007%20Jun%202019%2020:45:02%20GMT	https://c0.wp.com/c/6.8.2/wp-includes/js/mediaelement/wp-mediaelement.min.css	C:/My%20Web%20Sites/taniti-studentPA/c0.wp.com/c/6.8.2/wp-includes/js/mediaelement/wp-mediaelement.min.css	(from https://simply-strength.com/xyz-ics-preview-page-2/)
13:35:06	5756/5756	---MCZ	200	added ('OK')	text/css	etag:W/%226664655f-167c%22	https://simply-strength.com/wp-content/themes/hello-elementor/style.min.css?ver=3.0.2	C:/My%20Web%20Sites/taniti-studentPA/simply-strength.com/wp-content/themes/hello-elementor/style.min5b75.css	(from https://simply-strength.com/xyz-ics-preview-page-2/)
13:35:06	5108/5108	---MCZ	200	added ('OK')	text/css	etag:W/%226664655f-13f4%22	https://simply-strength.com/wp-content/themes/hello-elementor/theme.min.css?ver=3.0.2	C:/My%20Web%20Sites/taniti-studentPA/simply-strength.com/wp-content/themes/hello-elementor/theme.min5b75.css	(from https://simply-strength.com/xyz-ics-preview-page-2/)
13:35:06	7325/7325	---MCZ	200	added ('OK')	text/css	etag:W/%226664655f-1c9d%22	https://simply-strength.com/wp-content/themes/hello-elementor/header-footer.min.css?ver=3.0.2	C:/My%20Web%20Sites/taniti-studentPA/simply-strength.com/wp-content/themes/hello-elementor/header-footer.min5b75.css	(from https://simply-strength.com/xyz-ics-preview-page-2/)
